comment;violence;directed_vs_generalized;gender;race;national_origin;disability;religion;sexual_orientation,,,,,,,,,,
Surprised that the burqa is banned in Belgium, but not in Poland where they are is much more looked-down upon. Kill them;1;0;0;0.166666667;0.333333333;0;0.5;0,,,,,,,,,
Support from China , we also fight the cancer religion in Xinjiang , despite all the differences between our two races, we have one unite enemy that is Islam.;0.5;0;0;0;0;0;1;0,,,,,,,
Stupid ugly asian tan ass snitch;0;1;0;0.333333333;0.666666667;0;0;0,,,,,,,,,,
stupid black women,if i were in that restaurant, i would had whipped their ass;0.666666667;0.333333333;0.4;0.6;0;0;0;0,,,,,,,,
stone throwing must be legal when against women;1;0;1;0;0;0;0;0,,,,,,,,,,
Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful;1;0.166666667;0.333333333;0.666666667;0;0;0;0,,,,,,,,,,
Smack that bitch up - mouthy African cunt;1;0.666666667;0.166666667;0.166666667;0.666666667;0;0;0,,,,,,,,,,
She said is christian. Well I now I want to bury her;0.833333333;1;0.166666667;0;0;0.166666667;0.666666667;0,,,,,,,,,,
She is heavily relying on him to turn the other cheek...tough talking demon infested woman.;0.333333333;1;1;0;0;0;0;0,,,,,,,,,,
Serbia should kill gays in yugoslavia and not albanians, bosnians, croatian;0.833333333;0.166666667;0;0;0.142857143;0;0;0.857142857,,,,,,,,
SEND ALL GAYS TO HELL;0.833333333;0;0;0;0;0;0;1,,,,,,,,,,
SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.;0;0.166666667;0.25;0.5;0.25;0;0;0,,,,,,,,,
Salute to Taliban Mujahideen. We Pakistanis are strongly supporting you. Go crush america and kill those bastards. Allah u Akbar. Victory will be yours Insha Allah.;1;0;0;0.142857143;0.714285714;0;0.142857143;0,,,,,,,,,,
Really, I hope she get raped in the future. Raping women should be legal I think;1;0.333333333;1;0;0;0;0;0,,,,,,,,,
Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.;0.833333333;0.833333333;0.25;0.75;0;0;0;0,,,,,,,,,,
phuck white rasist ass people;0.166666667;0;0;1;0;0;0;0,,,,,,,,,,
or when the man walked up to the little girl with the gay pride flag i wanted to jump into the video and punch him but ya know thats assault;0.833333333;0.833333333;0;0;0;0;0;1,,,,,,,,,,
Only black lives matter. fuck white people the cancer of the earth;0.5;0;0;1;0;0;0;0,,,,,,,,,,
Native Americans are a fucking joke. They did not have even a decent mother language. ;0;0;0;0;1;0;0;0,,,,,,,,,,
Muslims want war! So take it to them first;0.833333333;0;0;0;0;0;1;0,,,,,,,,,,
Mentally disabled people are fucking scary. Their disfigurements are very unnerving and strange and the fact that they have the mental capacity of a 5 year old makes them all the more threatening as you never know what they might do.;0;0;0;0;0;1;0;0,,,,,,,,,,
Men race is a subordinate of women;0;0;0.833333333;0.166666667;0;0;0;0,,,,,,,,,,
Maybe it's because you're autistic?? Wish you death;1;1;0;0;0;1;0;0,,,,,,,,,,
Look at these gay ass niggas. lol. Acting like they some bitches.;0.166666667;0;0.25;0.5;0;0;0;0.25,,,,,,,,,,
Lol, you're not white, you're a Jew. Jews are the worst nation and they must be annihilated, so like you;0.833333333;0.333333333;0;0;0.166666667;0;0.833333333;0,,,,,,,
lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .;0.333333333;0.166666667;1;0;0;0;0;0,,,,,,,,,,
LGBTQ+ are mentally ill. Period.;0.166666667;0;0.142857143;0;0;0;0;0.857142857,,,,,,,,,,
Let's go beat these queers!;0.833333333;0.166666667;0;0;0;0;0;1,,,,,,,,,,
Killing koreans its werry good;1;0;0;0;1;0;0;0,,,,,,,,,,
Kill these basterds, son of sluts who attack u in name of religion. Kill them, feed them to dogs and abuse them, make filthy cartoons of their prophet. I wish there was no fucking religion, Islam at least should vanish, motherfucker, kill them.;1;0.166666667;0;0;0;0;1;0,,,,
kill the gays;1;0;0;0;0;0;0;1,,,,,,,,,,
Kill every white people mercylessly.;0.833333333;0.166666667;0;1;0;0;0;0,,,,,,,,,,
Kill ALL black people.;1;0;0;1;0;0;0;0,,,,,,,,,,
Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS;0;0;0;1;0;0;0;0,,,,,,,,,,
It numbs them to the disgusting degeneracy and fruitless hedonism of faggot sex;0;0;0;0;0;0;0;1,,,,,,,,,,
Islam is pig shit;0;0;0;0;0;0;1;0,,,,,,,,,,
Islam is hell .  We Asian hate isalm...Islam bring only destruction..killing.  rape... rufugee.... Islam is hell .. Asian thought √∞¬ü¬ò¬Ç√∞¬ü¬ò¬Çsorry...but is true;0.333333333;0;0;0;0.166666667;0;0.833333333;0,,,,,,,,,,
Islam is a religion of hate. These propaganda type videos are dishonest. Simply read the Quran and Hadith.;0;0.166666667;0;0;0;0;1;0,,,,,,,,,,
Islam is  the home of terriorism .;0;0;0;0;0;0;1;0,,,,,,,,,,
Is that guy-shadow or are you just a genetic faggot?;0;1;0;0;0;0;0;1,,,,,,,,,,
Indians are shit but burgers only have broken English and ebonics to learn and still fail. Second thread in a row where a burger can't figure out you're and your;0;0;0;0;1;0;0;0,,,,,,,,,,
Incest baby that got double-down syndrome;0;0.833333333;0;0;0;1;0;0,,,,,,,,,,
Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon;0.666666667;0.833333333;0.166666667;0.833333333;0;0;0;0,,,,,,,,,,
Im going to choke you with your cross necklace idiotic religious pig;1;0.833333333;0;0;0;0;1;0,,,,,,,,,,
Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.;0;0.5;0.857142857;0;0;0;0;0.142857143,,,,,,,,,
If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.;0;0.166666667;1;0;0;0;0;0,,,,,,,,,,
"If I were your dad, I'd Google ""Abortions at 30 years old mentally handicapped”.;0.666666667;0.5;0;0;0;1;0;0",,,,,,,,,,
If i were you I would inject lethal heroin to my ‚Äòsick' child immediately!;0.833333333;0.833333333;0.166666667;0.166666667;0;0.666666667;0;0,,,,,,,,,,
If I had to meet one of the apostles I would fuck them for not killing him;0.833333333;0.5;0.166666667;0;0;0;0.833333333;0,,,,,,,,,,
If I had Down syndrome I would kill myself;0.666666667;0.333333333;0;0;0;1;0;0,,,,,,,,,,
I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N;1;0.5;0.833333333;0;0;0;0;0.166666667,,,,,,,,,,
I remember once I was in charge of a disabled kid. Every night I was wishing slow death for him;0.5;0.833333333;0;0;0;1;0;0,,,,,,,,,,
I just don't like Homosexuals raising kids it's my opinion.;0;0;0;0;0;0;0;1,,,,,,,,,,
I hate mentally disabled people trying to touch my kids.;0;0;0;0;0;1;0;0,,,,,,,,,,
I hate every religion, but because of you I hate most of all your religion and its stupid theories about God and shits;0;0.333333333;0;0;0;0;1;0,,,,,,,,,
I fucking hate gay and lesbians they are all animals;0;0;0;0;0;0;0;1,,,,,,,,,,
I don’t think you have the right to write comments or even express your opinion freely. Free speech is a human right. Autistics aren’t 100% humans;0.166666667;0.5;0;0;0;1;0;0,,,,,,,,,,
I don't hate women i just think that they have nothing interesting to say. None reason for existance.;0;0;1;0;0;0;0;0,,,,,,,,,,
Hope you fucking die bitches gay people should not exist all you do is lick one another's ass;1;0.166666667;0;0;0;0;0;1,,,,,,,,,,
Homosexuality leads to death and extinction;0.333333333;0;0;0;0;0;0;1,,,,,,,,,,
Homosexuality and transgenderism is a mental illness and a sexual perversion!;0;0;0.142857143;0;0;0;0;0.857142857,,,,,,,,,,
Hindus and Muslims are same shit. They only know how to kill Peoples...See comments of Christians people no rudeness no abusing or bad words... Christians religion is the best religion in the world;0.166666667;0;0;0;0;0;1;0,,,,,,,,,,
Gun shot fi gay get all of the guns them out,the police must give we the rights to kill all gays, gun shot at all gays suck your mothers all gays;1;0;0;0;0;0;0;1,,,,,,,,
Grow some fucking balls and take back your country, bongs. Start killing reporters, politicians, and Asians.;1;0;0;0.333333333;0.666666667;0;0;0,,,,,,,
Good Muslims deserved attack and damage;1;0;0;0.166666667;0.166666667;0;0.666666667;0,,,,,,,,,,
Gayness should be removed from the face of the earth;0.666666667;0;0;0;0;0;0;1,,,,,,,,,,
fucking stupid feminist bitches;0;0;0.857142857;0;0;0;0;0.142857143,,,,,,,,,,
fucking monkeys kill them all;0.833333333;0.166666667;0;0.833333333;0.166666667;0;0;0,,,,,,,,,,
FUCKING migrants need BAN . fucking animals;0.333333333;0;0;0;1;0;0;0,,,,,,,,,,
Fuck u anti muslims heartless assholes u will go to hell;0.166666667;0.166666667;0;0;0.166666667;0;0.833333333;0,,,,,,,,,,
Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.;0.166666667;0.333333333;0.166666667;0.666666667;0.166666667;0;0;0,,,,,,,,,,
Fuck off niggers WV is full;0.333333333;0;0;1;0;0;0;0,,,,,,,,,,
fuck niggers, they don't need rights. all I want for christmas is a lynched nigger.;0.833333333;0.166666667;0.166666667;0.833333333;0;0;0;0,,,,,,,,,
FUCK GAYS disgusting;0.166666667;0;0;0;0;0;0;1,,,,,,,,,,
fuck bulgaria stupid country;0;0;0;0;1;0;0;0,,,,,,,,,,
Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!;0;0.166666667;1;0;0;0;0;0,,,,,,,,,,
EXECUTE OHOMO AND HIS SHEMALE BITCH MIKE.;1;0.833333333;0.333333333;0;0.166666667;0;0;0.5,,,,,,,,,,
Everyone hates you because you're gay;0;1;0;0;0;0;0;1,,,,,,,,,,
Every time I see her with a hijab, niqab or burka or shit I fantasising of choking her to death with that facking piece of cloth;1;0.833333333;0.333333333;0;0.166666667;0;0.5;0,,,,,,,,,
even god hates dominicans. why else did he shit them out on the same monkey island as the haitians?;0.166666667;0.166666667;0;0.142857143;0.857142857;0;0;0,,,,,,,,,,
Europe is land of white people. Don't let africans take over our home. Fuck islam. Fuck multiculturalism.;0;0;0;0.222222222;0.333333333;0;0.444444444;0,,,,,,,,,,
Equality should not apply on people of different religions except christianity.;0.166666667;0;0;0;0;0;1;0,,,,,,,,,,
EEEWWWWWWW TRANSGENDERS ARE FUCKING DISGUSTING;0;0;0.333333333;0;0;0;0;0.666666667,,,,,,,,,,
Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire;0;0;1;0;0;0;0;0,,,,,,,,,,
Do women born to be whores? Ot they develop it later;0;0;1;0;0;0;0;0,,,,,,,,,,
Dirty Christianity follower creating war everywhere Iran should attack USA  We will support Iran;0.666666667;0.333333333;0;0;0.142857143;0;0.857142857;0,,,,,,,,,,
Die fucking arab dude sand niggas;1;0.333333333;0;0.571428571;0.428571429;0;0;0,,,,,,,,,,
destroy islam;0.833333333;0;0;0;0.166666667;0;0.833333333;0,,,,,,,,,,
Deport all niggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.;0.166666667;0;0;0.714285714;0.285714286;0;0;0,,,,,,,
Crazy auntie get rid of your autistic son and make good to planet;0.666666667;0.666666667;0;0;0;1;0;0,,,,,,,,,,
Christians are all demonic;0.166666667;0;0;0;0.166666667;0;0.833333333;0,,,,,,,,,,
CANCEROUS ugly tarded beings !(except lauren) DIE FUCKING ALREADY WASTE OFF WHORES NOBODY WILL MIS YOU UGLY DUMB TARDED WASTES OFF SPQCES √∞¬ü¬ò¬Ä FUCK women and Islam rights, don't like it here fuckoff and die √∞¬ü¬ò¬Ä;0.666666667;0.166666667;0.4;0;0.1;0.1;0.4;0,,,,,,,,,
Can we get white people running MTV ? Or black people? Or even some filthy pakistanis? As long as it gets back to music, Anything would be better than the jews;0.166666667;0;0;0.3;0.1;0;0.6;0,,,,,,,,,
Burn them all down and kick Islam out of EU...We support you...Fuck Islam.;0.833333333;0.166666667;0;0;0;0;1;0,,,,,,,,,,
Buddhism is a religion for cows. People who believe this shit they get chopped sooner or later;0.5;0.166666667;0;0;0;0;1;0,,,,,,,,,,
Blacks are literally the cuckold of all the races and also the epitome of degeneracy. Don't listen and believe the Jewish propaganda of black being alpha. Consider yourselves as top of the social hierarchy by just being white.;0;0;0;0.75;0;0;0.25;0,,,,,,,,,,
Being a lesbian is fine if you really love being an animal;0;0;0;0;0;0;0;1,,,,,,,,,,
beeing gay is anti human;0;0.166666667;0;0;0;0;0;1,,,,,,,,,,
Because everyone knows this islam men is the devil;0;0.166666667;0;0;0;0;1;0,,,,,,,,,,
Autists is why presidents like trump are getting elected;0;0.166666667;0.166666667;0;0;0.833333333;0;0,,,,,,,,,,
Asians have more fats so they are yellow.  So fat people are yellow?...;0;0;0;1;0;0;0;0,,,,,,,,,,
As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege.;0.166666667;0;0;1;0;0;0;0,,,,,,,,,
Any lesbian that doesn't look like a complete hog actually wants to be with a man.;0.166666667;0;0;0;0;0;0;1,,,,,,,,,,
An ugly man in a wig and dress, is still just an ugly man in a wig and dress... NOT A WOMAN!!!;0.333333333;0.333333333;0.428571429;0;0;0;0;0.571428571,,,,,,,,,
an Asian Moe Howard piece of shit;0.166666667;1;0;0.166666667;0.833333333;0;0;0,,,,,,,,,,
American people are dumbass. They don't even know geography;0;0;0;0.333333333;0.666666667;0;0;0,,,,,,,,,,
American Indians are finally almost extinguished;0.333333333;0;0;0.333333333;0.666666667;0;0;0,,,,,,,,,,
All muslims worship Satan¬ü¬ï¬ã 5 times a day;0;0;0;0;0;0;1;0,,,,,,,,,,
all mental illnesses are awful and must be treated;0;0;0;0;0;1;0;0,,,,,,,,,,
All girls like you should have a pimp to guide them to successful prostitution;0;0.833333333;1;0;0;0;0;0,,,,,,,,,,
After all this time the african americans are the people with most crime rate;0;0;0;0.833333333;0.166666667;0;0;0,,,,,,,,,,
actually autism can make you a retard;0;0.166666667;0;0;0;1;0;0,,,,,,,,,,
